Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Tipo de Atividade;Natureza Jurídica;Línguas;Especialidades
SABOREANDO RESTAURANTE LTDA;SABOREANDO;00.112.535/0001-54;EMPRESA DE PEQUENO PORTE;13/07/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;30720-320;MG;Belo Horizonte;Padre Eustáquio;Progresso;- de 611/612 a 1219/1220;(31)3413-8888;saulohvm@gmail.com;saulohvm@gmail.com;www.saboreandorestaurante.com.br;16/05/2019 16:25:08;16/05/2021 16:25:08;00.112.535/0001-54;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
DEBORAH PRADO MARCONDES DOITSCHINOFF - EPP;COZINHA ABERTA;00.114.339/0001-19;EMPRESA DE PEQUENO PORTE;14/07/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;46960-000;BA;Lençóis; - ;Sem Logradouro; - ;(75)3334-1321;cozinhaaberta@hotmail.com;cozinhaaberta@hotmail.com; - ;14/11/2017 16:33:16;14/11/2019 00:00:00;00.114.339/0001-19;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual);Inglês;Brasileira
FAZENDA ANGOLANA TURISMO RURAL E RESTAURANTE LTDA;FAZENDA ANGOLANA TURISMO RURAL E RESTAURANTE LTDa;00.118.884/0001-83;MICROEMPRESA;21/07/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;18145-702;SP;Divino;Campininha (Canguera);Angolana; - ;(11)4711-1640;CARLOS-BATISTA@UOL.COM.BR;fazendaangolana@hotmail.com;www.fazendaangolana.com.br;14/02/2019 09:34:01;14/02/2021 09:34:01;00.118.884/0001-83;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira|Cozinha regional
VANDERLEI CANDIAGO;RESTAURANTE E LANCHONETE ARAUCARIA;00.128.480/0001-70;MICROEMPRESA;01/08/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;88514-675;SC;Lages;Área Industrial;BR-116;- do km 248,000 ao km 250,999;(49)3226-0490;armando.mello@bol.com.br;armando.mello@bol.com.br; - ;10/06/2019 14:48:34;10/06/2021 14:48:34;00.128.480/0001-70;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual); - ;Brasileira
PAULO BERBETI;RESTAURANTE E LANCHONETE ALMANARA;00.152.802/0001-17;MICROEMPRESA;02/08/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;19200-000;SP;Pirapozinho; - ;RUA PAULO S. G. MOLINA, 382;CENTRO;(18)3269-1974;restaurantealmanara@hotmail.com;restaurantealmanara@hotmail.com; - ;20/05/2019 10:44:11;20/05/2021 10:44:11;00.152.802/0001-17;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual); - ;Brasileira|Cozinha regional
GABRIELA EMPREENDIMENTOS EIRELI;CABANA GABRIELA;00.155.300/0001-40;MICROEMPRESA;19/08/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;45655-650;BA;Ilhéus;Nossa Senhora da Vitória;Tancredo Neves;Praia do Sul;(73)3632-1836;CABANAGABRIELA@UOL.COM.BR;CABANAGABRIELA@UOL.COM.BR;@cabanagabriela;30/05/2019 14:36:03;30/05/2021 14:36:03;00.155.300/0001-40;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Inglês|Espanhol;Italiana|Brasileira|Cozinha regional
ELIANE RAMOS;RESTAURANTE ELY & JOSY;00.177.797/0001-05;MICROEMPRESA;31/08/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;43900-000;BA;São Francisco do Conde; - ;RUA BAIA DE TODOS OS SANTOS;SN ORLA MARITIMA;(71)9832-7699;quiosquesaveiro@gmail.com;quiosquesaveiro@gmail.com; - ;03/06/2019 12:04:37;03/06/2021 12:04:37;00.177.797/0001-05;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual); - ;Brasileira|Cozinha regional
RESTAURANTE MANCHINI LTDA;RESTAURANTE MANCHINI;00.200.532/0001-72;MICROEMPRESA;21/09/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;89896-000;SC;Itapiranga; - ;rua sao jose 244;;(49)3194-1435;ECOESTE@ECOESTE.COM.BR;manchinieventos@yahoo.com.br; - ;18/07/2018 15:08:45;18/07/2020 15:08:45;00.200.532/0001-72;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Alemã|Italiana|Brasileira
RESTAURANTE MANCHINI LTDA;RESTAURANTE MANCHINI;00.200.532/0002-53;MICROEMPRESA;22/09/2017;Em Operação;Restaurante, Cafeteria, Bar e Similares;89896-000;SC;Itapiranga; - ;Linha Laranjeira Alta ;ITG 070 sn;(49)9146-1091;MANCHINIEVENTOS@YAHOO.COM.BR;MANCHINIEVENTOS@YAHOO.COM.BR; - ;18/07/2018 15:43:34;18/07/2020 15:43:34;00.200.532/0002-53;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Alemã|Italiana|Cozinha regional
RESTAURANTE E PIZZARIA MAMMA TUTTI EIRELI;FAMILIA MUCCINI;00.202.998/0001-07;EMPRESA DE PEQUENO PORTE;21/09/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;58039-110;PB;João Pessoa;Tambaú;Nossa Senhora dos Navegantes; - ;(83)3226-8588;MARCOS@SAPOREONLINE.COM;MARCOS@SAPOREONLINE.COM;WWW.FAMILIAMUCCINI.COM;27/12/2018 15:24:04;27/12/2020 15:24:04;00.202.998/0001-07;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Alemão|Espanhol|Inglês;Brasileira|Italiana
J I F G FILHO;POUSADA DAS CANOAS;00.203.502/0002-09;MICROEMPRESA;11/04/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;62580-000;CE;Acaraú; - ;rua beira mar n° 100;curral velho- praia de arpoeiras;(88)9962-2442;ivnasilvaf@hotmail.com;joaoivofilho@hotmail.com; - ;23/04/2018 16:35:31;23/04/2020 16:35:31;00.203.502/0002-09;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário Individual;Inglês;Brasileira
COMERCIO E LANCHONETE CENTRO OESTE LTDA;BAR E LANCHONETE CENTRO OESTE;00.204.784/0001-70;MICROEMPRESA;20/10/1983;Em Operação;Restaurante, Cafeteria, Bar e Similares;79550-000;MS;Costa Rica; - ;R. Ambrosina Paes Coelho 239;;(67)9967-2584;hernando_g77@hotmail.com;hernando_g77@hotmail.com; - ;06/11/2018 10:58:51;06/11/2020 10:58:51;00.204.784/0001-70;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Bar;Sociedade Empresária Limitada; - ;Brasileira
PADARIA E RESTAURANTE VO FLOR LTDA;PADARIA VO FLOR;00.212.516/0001-08;MICROEMPRESA;28/09/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;88034-001;SC;Florianópolis;Itacorubi;Admar Gonzaga;- de 2026/2027 a 3787/3788;(48)3334-3647;PADARIAVOFLOR@GMAIL.COM;PADARIAVOFLOR@GMAIL.COM; - ;27/12/2018 17:51:20;27/12/2020 17:51:20;00.212.516/0001-08;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
CORONADO & TONIN LTDA;LANCHONETE, RESTAURANTE E POUSADAS O PORAO;00.219.965/0001-70;MICROEMPRESA;18/07/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;87950-000;PR;Porto Rico; - ;AVENIDA BEIRA RIO, 001;ORLA DO RIO PARANÁ;(44)3427-1318;luizporao@hotmail.com;luizporao@hotmail.com;;07/05/2019 13:23:05;07/05/2021 13:23:05;00.219.965/0001-70;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira|Cozinha regional|Italiana
CAPELARI & CIA LTDA;CAPELARI & CIA LTDA - ME;00.239.275/0001-82;MICROEMPRESA;13/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;89900-000;SC;São Miguel do Oeste; - ;Sem Logradouro; - ;(49)3621-2555;ocapelari@yahoo.com.br;ocapelari@yahoo.com.br; - ;05/12/2017 13:46:51;05/12/2019 00:00:00;00.239.275/0001-82;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada;Espanhol|Italiano;Italiana
GABRIEL & CIA LTDA;Quitanda & Pão Nosso;00.243.756/0001-61;MICROEMPRESA;11/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;29950-000;ES;Jaguaré; - ;Av 09 de Agosto, 2442;Centro;(27)3769-1116;quitandapaonosso@hotmail.com;quitandapaonosso@hotmail.com;https://www.facebook.com/quitandapaonosso/;28/05/2018 09:51:48;28/05/2020 09:51:48;00.243.756/0001-61;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Cafeteria;Sociedade Empresária Limitada; - ;Brasileira
HOTEL E RESTAURANTE GOIAS LTDA;HOTEL GOIAS;00.256.719/0001-98;MICROEMPRESA;22/06/1983;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Sem Logradouro; - ;(64)3453-1793;rwscontabilidade@gmail.com;rwscontabilidade@gmail.com;WWW.RIOQUENTERESORTES.COM.BR;04/10/2017 09:35:36;04/10/2019 00:00:00;00.256.719/0001-98;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Cozinha regional
GRAND'S BAR LTDA;GRAN D'S BAR;00.261.786/0001-09;MICROEMPRESA;21/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;95320-000;RS;Nova Prata; - ;Rua Henrique Lenzi, 135;;(54)3242-2816;bina@grandsbar.com.br;bina@grandsbar.com.br; - ;21/06/2019 14:37:06;21/06/2021 14:37:06;00.261.786/0001-09;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Restaurante;Sociedade Empresária Limitada;Espanhol|Inglês;Brasileira
CINDY PRODUTOS ALIMENTICIOS LTDA;CINDY CONFEITARIA;00.273.143/0001-77;MICROEMPRESA;27/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;09402-520;SP;Ribeirão Pires;Centro;dos Autonomistas;(Jd Itacolomy);4828-5333;and.cindyconfeitaria@gmail.com;and.cindyconfeitaria@gmail.com; - ;14/03/2019 13:38:29;14/03/2021 13:38:29;00.273.143/0001-77;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Cafeteria;Sociedade Empresária Limitada;Português;Cozinha regional
EDMARA SANTOS SENA;RESTAURANTE Q'DELICIA;00.273.867/0001-10;MICROEMPRESA;27/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;45445-000;BA;Camamu; - ;Terreo;;(73)3255-2491;mcpereira3@hotmail.com;mcpereira3@hotmail.com; - ;06/04/2018 15:14:25;06/04/2020 15:14:25;00.273.867/0001-10;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário Individual; - ;Brasileira
JOSE CORREIA DE SAO JOSE;MERCADINHO TIO CORREIA;00.273.913/0001-81;MICROEMPRESA;31/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;48190-000;BA;Entre Rios; - ;RUA DIRETA DE SUBAUMA 643;AO LADO DA PONTE ;(75)9994-8352;correia_jose62@hotmail.com;correia_jose62@hotmail.com; - ;03/06/2019 10:06:56;03/06/2021 10:06:56;00.273.913/0001-81;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário Individual; - ;Brasileira
RESTAURANTE FRUTOS DO MAR LTDA;RECEPTIVO E RESTAURANTE FRUTOS DO MAR;00.282.468/0001-16;MICROEMPRESA;08/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;57955-000;AL;Maragogi;Mangabeiras;RODOVIA ARNON DE MELO - 253; - ;(82)3296-1329;BETOLARANJEIRA@HOTMAIL.COM;BETOLARANJEIRA@HOTMAIL.COM;http://www.restaurantefrutosdomar.com/o_restaurante.html;14/02/2019 10:09:47;14/02/2021 10:09:47;00.282.468/0001-16;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada;Espanhol;Brasileira
RESTAURANTE CASTELINHO MAIRIPORA LTDA;Castelinho Restaurante e Espaço Turístico;00.303.342/0001-80;MICROEMPRESA;16/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;07600-000;SP;Mairiporã; - ;Estrada Henrique Barbosa Ortiz km 6,5;cpc 99;(11)4486-3299;carla@worldlazer.com.br;contato@worldlazer.com.br;www.sitiowl.com;23/10/2018 12:42:53;23/10/2020 12:42:53;00.303.342/0001-80;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
RESTAURANTE E  PIZZARIA NAPOLI EIRELI;SAPORE D'ÍTALIA;00.305.569/0001-65;EMPRESA DE PEQUENO PORTE;22/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;58045-010;PB;João Pessoa;Cabo Branco;Cabo Branco; - ;(83)3247-3322;MARCOS@SAPOREONLINE.COM;MARCOS@SAPOREONLINE.COM;WWW.SAPOREONLINE.COM;18/12/2018 12:05:51;18/12/2020 12:05:51;00.305.569/0001-65;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Espanhol|Inglês|Italiano;Brasileira|Italiana
MONICA ANDREA DA SILVA;RESTAURANTE DA MONICA;00.309.002/0001-67;MICROEMPRESA;24/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Ipojuca; - ;Porto de galinhas;Maracaípe;(81)9996-4955;monicamaracaipe@gmail.com;monicamaracaipe@gmail.com; - ;12/11/2018 08:20:16;12/11/2020 08:20:16;00.309.002/0001-67;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual); - ;Brasileira
GURIAN LIRA COMERCIO LTDA;DE LIRA RESTAURANTE E PIZZARIA;00.317.120/0001-17;EMPRESA DE PEQUENO PORTE;23/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;29101-280;ES;Vila Velha;Praia da Costa;Hugo Musso; - ;(27)3200-4480;delira@uol.com.br;delira@uol.com.br;www.delira.com.br;12/09/2018 11:52:17;12/09/2020 11:52:17;00.317.120/0001-17;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada;Espanhol|Inglês;Brasileira
VANICE RAHAL RESTAURANTE EIRELI;VANICE RAHAL RESTAURANTE - EPP;00.346.894/0001-76;EMPRESA DE PEQUENO PORTE;09/12/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;11680-000;SP;Ubatuba;Centro;Sem Logradouro; - ;(12)3832-1488;RESTAURANTE.TERRA@UOL.COM.BR;RESTAURANTE.TERRA@UOL.COM.BR; - ;22/03/2019 09:23:26;22/03/2021 09:23:26;00.346.894/0001-76;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Espanhol|Inglês;Brasileira
VALDEMIR LIMA DA SILVA;LIMA BAR E LANCHONETE;00.348.304/0001-44;MICROEMPRESA;06/12/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;69750-000;AM;São Gabriel da Cachoeira;Vila Dulce;BR 307;;(97)3471-1790;limalanc808@gmail.com;limalanc808@gmail.com; - ;22/03/2019 11:11:26;22/03/2021 11:11:26;00.348.304/0001-44;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Similar;Empresário (Individual); - ;Brasileira
HOTEL 1 OPCAO LTDA;HOTEL 1 OPÇÃO;00.361.359/0001-94;MICROEMPRESA;21/12/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;76160-000;GO;Sanclerlândia; - ;AV 5 DE JANEIRO;QD-09 LT-13;(64)9811-4328;escritorio@contabilidadearruda.com;escritorio@contabilidadearruda.com; - ;15/05/2018 08:24:16;15/05/2020 08:24:16;00.361.359/0001-94;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Restaurante;Empresário (Individual); - ;Brasileira
MANOEL DE ALBUQUERQUE BARBOSA;Avenida Drinks;00.385.855/0001-88;MICROEMPRESA;10/01/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;58497-000;PB;Campina Grande; - ;Av Carlos Pessoa, Nº 105.;Centro;(83)3395-1075;tatianevs13@gmail.com;tatianevs13@gmail.com; - ;17/05/2019 10:59:11;17/05/2021 10:59:11;00.385.855/0001-88;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Restaurante;Empresário (Individual); - ;Cozinha regional
AMARO VIRIATO DE LIMA;GELADO OU NATURAL;00.404.833/0001-18;MICROEMPRESA;25/01/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;57025-890;AL;Maceió;Poço;Pedro Américo; - ;(82)9935-4248;geladoounatural@gmail.com;geladoounatural@gmail.com; - ;25/06/2018 12:35:53;25/06/2020 12:35:53;00.404.833/0001-18;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual); - ;Cozinha regional
R.PRUDENCIO DA SILVA;CHURRASCARIA DO REGILSON;00.448.119/0001-21;MICROEMPRESA;21/02/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;69940-000;AC;Sena Madureira; - ;Sem Logradouro; - ;(68)3612-4237;cosmamaria48@hotmail.com;cosmamaria48@hotmail.com; - ;18/09/2018 10:58:34;18/09/2020 10:58:34;00.448.119/0001-21;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Empresário (Individual); - ;Cozinha regional
PETISCARIA E PIZZARIA PAOLA LTDA;RESTAURANTE E PIZZARIA PAOLLA;00.467.505/0001-60;MICROEMPRESA;24/02/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;78580-000;MT;Alta Floresta; - ;Sem Logradouro; - ;(66)3521-5555;pizzariapaolla@gmail.com;pizzariapaolla@gmail.com; - ;06/07/2017 15:15:31;06/07/2019 00:00:00;00.467.505/0001-60;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
CLAERRO SORVETES LTDA;CLAERRO SORVETES;00.478.186/0001-99;MICROEMPRESA;10/03/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;75680-094;GO;Caldas Novas;Setor Oeste;Antônio Coelho de Godoy;QD 05 LT 08;(64)3455-2900;admclaerro@gmail.com;admclaerro@gmail.com; - ;29/07/2019 16:47:58;29/07/2021 16:47:58;00.478.186/0001-99;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Similar;Sociedade Empresária Limitada; - ;Brasileira
VECCHIO SOGNO LTDA;BUFFET IVO FARIA;00.508.669/0001-99;EMPRESA DE PEQUENO PORTE;23/03/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;30190-090;MG;Belo Horizonte;Santo Agostinho;Martim de Carvalho; - ;(31)3292-5184;BETE@VECCHIOSOGNO.COM.BR;BETE@VECCHIOSOGNO.COM.BR;WWW.VECCHIOSOGNO.COM.BR;28/03/2019 10:02:33;28/03/2021 10:02:33;00.508.669/0001-99;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada;Espanhol|Francês|Inglês;Italiana
LANCHONETE E RESTAURANTE LUNGE LTDA;Lanchonete e Restaurante Lunge Ltda ;00.539.913/0001-80;MICROEMPRESA;11/04/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;89107-000;SC;Pomerode; - ;Rua Luiz Abry,187;;(47)3387-0064;restaurantelunge@gmail.com;restaurantelunge@gmail.com; - ;22/05/2019 12:12:09;22/05/2021 12:12:09;00.539.913/0001-80;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Alemã|Brasileira|Cozinha regional
HL COMERCIO DE ALIMENTOS LTDA;MISTER PIZZA;00.550.709/0001-60;EMPRESA DE PEQUENO PORTE;18/04/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;58038-000;PB;João Pessoa;Manaíra;João Maurício; - ;(83)2106-6131;misterpizzajp@hotmail.com;misterpizzajp@hotmail.com;www.misterpizza.com.br;20/12/2017 14:25:50;20/12/2019 00:00:00;00.550.709/0001-60;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Italiana
KANANGA DO MIGAO LTDA;Restaurante do Kananga;00.586.415/0001-99;MICROEMPRESA;05/05/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;39790-000;MG;Água Boa; - ;Rua Professor Góes, 22, Centro;;(33)3515-5113;ctpedraspreciosas@gmail.com;ctpedraspreciosas@gmail.com; - ;04/06/2018 09:29:16;04/06/2020 09:29:16;00.586.415/0001-99;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
