Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Estrutura Básica;Tipo de Atividade;Natureza Jurídica;Línguas;Capacidade de Lugares
H F ROSA;CHURRASCARIA E PIZZARIA BEIRA RIO;00.223.693/0001-81;MICROEMPRESA;29/03/1983;Em Operação;Restaurante, Cafeteria, Bar e Similares;76500-000;GO;Santa Terezinha de Goiás; - ;Sem Logradouro; - ;(62)3339-6658;st-acecomh@hotmail.com;st-acecomh@hotmail.com; - ;14/06/2017 14:45:27;00.223.693/0001-81;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
CAPELARI & CIA LTDA;CAPELARI & CIA LTDA - ME;00.239.275/0001-82;MICROEMPRESA;13/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;89900-000;SC;São Miguel do Oeste; - ;Sem Logradouro; - ;(49)3621-2555;ocapelari@yahoo.com.br;ocapelari@yahoo.com.br; - ;05/12/2017 13:46:51;00.239.275/0001-82;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Espanhol | Italiano; - 
GABRIEL & CIA LTDA;Quitanda & Pão Nosso;00.243.756/0001-61;MICROEMPRESA;11/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;29950-000;ES;Jaguaré; - ;Av 09 de Agosto, 2442;Centro;(27)3769-1116;quitandapaonosso@hotmail.com;quitandapaonosso@hotmail.com;https://www.facebook.com/quitandapaonosso/;28/05/2018 09:51:48;00.243.756/0001-61;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Cafeteria;Sociedade Empresária Limitada; - ; - 
HOTEL E RESTAURANTE GOIAS LTDA;HOTEL GOIAS;00.256.719/0001-98;MICROEMPRESA;22/06/1983;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Sem Logradouro; - ;(64)3453-1793;rwscontabilidade@gmail.com;rwscontabilidade@gmail.com;WWW.RIOQUENTERESORTES.COM.BR;04/10/2017 09:35:36;00.256.719/0001-98;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
EDMARA SANTOS SENA;RESTAURANTE Q'DELICIA;00.273.867/0001-10;MICROEMPRESA;27/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;45445-000;BA;Camamu; - ;Terreo;;(73)3255-2491;mcpereira3@hotmail.com;mcpereira3@hotmail.com; - ;06/04/2018 15:14:25;00.273.867/0001-10;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário Individual; - ; - 
Restaurante e Receptivo Frutos do Mar LTDA;RECEPTIVO E RESTAURANTE FRUTOS DO MAR;00.282.468/0001-16;MICROEMPRESA;08/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;57955-000;AL;Maragogi; - ;Sem Logradouro; - ;(82)3296-1403;BETOLARANJEIRA@HOTMAIL.COM;BETOLARANJEIRA@HOTMAIL.COM; - ;02/02/2017 15:22:02;00.282.468/0001-16;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Espanhol; - 
RESTAURANTE E  PIZZARIA NAPOLI EIRELI;SAPORE D'ÍTALIA;00.305.569/0001-65;EMPRESA DE PEQUENO PORTE;22/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;58045-010;PB;João Pessoa;Cabo Branco;Cabo Branco; - ;(83)3247-3322;MARCOS@SAPOREONLINE.COM;MARCOS@SAPOREONLINE.COM;WWW.SAPOREONLINE.COM;27/12/2016 15:36:53;00.305.569/0001-65;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);| Espanhol | Inglês | Italiano; - 
GURIAN LIRA COMERCIO LTDA;DE LIRA RESTAURANTE E PIZZARIA;00.317.120/0001-17;EMPRESA DE PEQUENO PORTE;23/11/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;29101-280;ES;Vila Velha;Praia da Costa;Hugo Musso; - ;(27)3200-4480;delira@uol.com.br;delira@uol.com.br;www.delira.com.br;12/09/2018 11:52:17;00.317.120/0001-17;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Espanhol | Inglês; - 
VANICE RAHAL RESTAURANTE EIRELI;VANICE RAHAL RESTAURANTE - EPP;00.346.894/0001-76;EMPRESA DE PEQUENO PORTE;09/12/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;11680-000;SP;Ubatuba; - ;Sem Logradouro; - ;(12)3832-1488;RESTAURANTE.TERRA@UOL.COM.BR;RESTAURANTE.TERRA@UOL.COM.BR; - ;24/05/2017 13:10:59;00.346.894/0001-76;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);| Espanhol | Inglês; - 
HOTEL 1 OPCAO LTDA;HOTEL 1 OPÇÃO;00.361.359/0001-94;MICROEMPRESA;21/12/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;76160-000;GO;Sanclerlândia; - ;AV 5 DE JANEIRO;QD-09 LT-13;(64)9811-4328;escritorio@contabilidadearruda.com;escritorio@contabilidadearruda.com; - ;15/05/2018 08:24:16;00.361.359/0001-94;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
AMARO VIRIATO DE LIMA;GELADO OU NATURAL;00.404.833/0001-18;MICROEMPRESA;25/01/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;57025-890;AL;Maceió;Poço;Pedro Américo; - ;(82)9935-4248;geladoounatural@gmail.com;geladoounatural@gmail.com; - ;25/06/2018 12:35:53;00.404.833/0001-18;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
COMERCIAL FLAMEL LTDA;BAR FLAMEL;00.414.379/0001-86;MICROEMPRESA;13/01/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;29650-000;ES;Santa Teresa; - ;Sem Logradouro; - ;(27)3259-2364;restauranteflamel@outlook.com;restauranteflamel@outlook.com; - ;21/11/2016 10:02:43;00.414.379/0001-86;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
PETISCARIA E PIZZARIA PAOLA LTDA;RESTAURANTE E PIZZARIA PAOLLA;00.467.505/0001-60;MICROEMPRESA;24/02/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;78580-000;MT;Alta Floresta; - ;Sem Logradouro; - ;(66)3521-5555;pizzariapaolla@gmail.com;pizzariapaolla@gmail.com; - ;06/07/2017 15:15:31;00.467.505/0001-60;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
CLAERRO SORVETES LTDA;CLAERRO SORVETES;00.478.186/0001-99;MICROEMPRESA;10/03/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Sem Logradouro; - ;(64)3455-2900;admclaerro@gmail.com;admclaerro@gmail.com; - ;20/10/2017 11:42:34;00.478.186/0001-99;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Similar;Sociedade Empresária Limitada; - ; - 
VECCHIO SOGNO LTDA;BUFFET IVO FARIA;00.508.669/0001-99;EMPRESA DE PEQUENO PORTE;23/03/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;30190-090;MG;Belo Horizonte;Santo Agostinho;Martim de Carvalho; - ;(31)3292-5184;BETE@VECCHIOSOGNO.COM.BR;BETE@VECCHIOSOGNO.COM.BR;WWW.VECCHIOSOGNO.COM.BR;28/03/2017 11:19:57;00.508.669/0001-99;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Espanhol | Francês | Inglês; - 
HL COMERCIO DE ALIMENTOS LTDA;MISTER PIZZA;00.550.709/0001-60;EMPRESA DE PEQUENO PORTE;18/04/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;58038-000;PB;João Pessoa;Manaíra;João Maurício; - ;(83)2106-6131;misterpizzajp@hotmail.com;misterpizzajp@hotmail.com;www.misterpizza.com.br;20/12/2017 14:25:50;00.550.709/0001-60;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
KANANGA DO MIGAO LTDA;Restaurante do Kananga;00.586.415/0001-99;MICROEMPRESA;05/05/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;39790-000;MG;Água Boa; - ;Rua Professor Góes, 22, Centro;;(33)3515-5113;ctpedraspreciosas@gmail.com;ctpedraspreciosas@gmail.com; - ;04/06/2018 09:29:16;00.586.415/0001-99;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
BARROSO ROCHA EMPREENDIMENTOS LTDA;BARROSO ROCHA EMPREENDIMENTOS;00.591.911/0001-30;MICROEMPRESA;10/05/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;59090-080;RN;Natal;Ponta Negra;Pedro Fonseca Filho; - ;(84)3236-2496;financeiro@vippraiahotel.com;financeiro@vippraiahotel.com; - ;18/07/2017 11:54:17;00.591.911/0001-30;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Espanhol | Inglês; - 
SUPERMERCADO BAKLIZI LTDA;SUPERMERCADO BAKLIZI;00.610.350/0007-65;DEMAIS;18/12/2001;Em Operação;Restaurante, Cafeteria, Bar e Similares;97500-300;RS;Uruguaiana; - ;Sem Logradouro; - ;(55)3414-2064;contabil@baklizi.com.br;contabil@baklizi.com.br;www.baklizi.com.br;26/01/2018 14:33:26;00.610.350/0007-65;5611-2/01 - RESTAURANTES E SIMILARES; - ;Similar;Sociedade Empresária Limitada;| Espanhol; - 
SUPERMERCADO BAKLIZI LTDA;SUPERMERCADO BAKLIZI;00.610.350/0014-94;DEMAIS;15/04/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;97560-000;RS;Quaraí; - ;Sem Logradouro; - ;(55)3414-2064;contabilidadebaklizi@hotmail.com;contabilidadebaklizi@hotmail.com; - ;27/02/2018 12:04:01;00.610.350/0014-94;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Similar;Sociedade Empresária Limitada;| Espanhol; - 
SUPERMERCADO BAKLIZI LTDA;SUPERMERCADO BAKLIZI LTDA;00.610.350/0020-32;DEMAIS;30/03/2017;Em Operação;Restaurante, Cafeteria, Bar e Similares;97538-000;RS;Barra do Quaraí; - ;Sem Logradouro; - ;(55)3414-2064;contador-baklizi@hotmail.com;contador-baklizi@hotmail.com; - ;27/02/2018 12:01:15;00.610.350/0020-32;5611-2/01 - RESTAURANTES E SIMILARES; - ;Similar;Sociedade Empresária Limitada;| Espanhol; - 
BALI SERVICE RESTAURANTE LTDA;MISTER COOK;00.701.583/0001-88;EMPRESA DE PEQUENO PORTE;28/06/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;29053-315;ES;Vitória;Monte Belo;Chafic Murad; - ;(27)3223-8607;mister.cook@hotmail.com;mister.cook@hotmail.com; - ;10/11/2017 11:13:31;00.701.583/0001-88;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
GIORDANI INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;GIORDANI INDÚSTRIA E COMÉRCIO DE PRODUTOS ALIMENTÍCIOS;00.723.033/0001-60;MICROEMPRESA;24/07/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;95700-000;RS;Bento Gonçalves; - ;Sem Logradouro; - ;(54)3453-6884;giordanicafe@giordanicafe.com.br;giordanicafe@giordanicafe.com.br;www.giordanigastronomia.com.br;13/01/2017 11:57:11;00.723.033/0001-60;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Italiano; - 
CLAIDS INDUSTRIA E COMERCIO LTDA;CLAID´S BISCOITOS;00.748.659/0001-20;EMPRESA DE PEQUENO PORTE;04/08/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;29650-000;ES;Santa Teresa; - ;Sem Logradouro; - ;(27)3259-1368;contato@claids.com.br;contato@claids.com.br;www.claids.com.br;21/11/2016 12:52:41;00.748.659/0001-20;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Cafeteria;Sociedade Empresária Limitada; - ; - 
M.A.B.VICTOR;RESTAURANTE, PIZZARIA E POUSADA VICTOR;00.752.534/0001-74;MICROEMPRESA;11/08/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;86410-000;PR;Ribeirão Claro; - ;Rua Coronel Joaquim Ribeiro Gomes, 566 - Centro;;(43)5361-1313;pousadavictor@pousadavictor.com.br;pousadavictor@pousadavictor.com.br;www.pousadavictor.com.br;13/06/2018 15:41:22;00.752.534/0001-74;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
DIVA MAIA DE ARAUJO;LANCHONETE E SORVETERIA AVENIDA;00.754.980/0001-18;MICROEMPRESA;11/08/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;69940-000;AC;Sena Madureira; - ;Sem Logradouro; - ;(68)9981-0973;ynarasena@hotmail.com;ynarasena@hotmail.com; - ;01/03/2018 12:48:51;00.754.980/0001-18;5611-2/01 - RESTAURANTES E SIMILARES; - ;Similar;Empresário (Individual); - ; - 
INACIA DE FATIMA MEDEIROS ANACLETO EIRELI;W EMPORIO. CAFÉ;00.823.454/0001-62;MICROEMPRESA;27/09/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;57022-050;AL;Maceió;Jaraguá;da Paz; - ;(82)3223-5315;ABMAal-@HOTMAIL.COM;ABMAal-@HOTMAIL.COM;WWW.PICUI.COM.BR;09/04/2018 10:17:31;00.823.454/0001-62;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);| Espanhol | Inglês; - 
CHAFARIZ DE OURO RESTAURANTE LTDA;CHAFARIZ DE OURO RESTAURANTE LTDA-ME;00.826.357/0001-23;MICROEMPRESA;22/09/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;25940-000;RJ;Guapimirim; - ;Sem Logradouro; - ;(21)2632-3218;chafarizdeouro@hotmail.com;chafarizdeouro@hotmail.com; - ;23/05/2017 16:50:06;00.826.357/0001-23;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Inglês; - 
ZENILDA REGINA DA SILVA EIRELI;LA TERRA LANCHONETE;00.861.041/0001-72;EMPRESA DE PEQUENO PORTE;09/10/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;89117-360;SC;Gaspar;Belchior Baixo;Ingo Hering; - ;(47)3332-2150;restaurantelaterra@hotmail.com;restaurantelaterra@hotmail.com; - ;24/10/2017 18:00:40;00.861.041/0001-72;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - 
RIEDEL & NALESSO LTDA;PARATI RESTAURANTE;00.873.517/0001-95;MICROEMPRESA;19/10/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;18206-420;SP;Itapetininga;Vila Nastri;Carlos Alberto Rodrigues Tibagy; - ;(15)3271-0246;PARATIRESTAURANTE@gmail.com;PARATIRESTAURANTE@gmail.com; - ;18/11/2016 10:56:52;00.873.517/0001-95;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Inglês; - 
A JOAQUIM MACHADO EUGENIO - ME;ENCANTOS DO VELHO CHICO;00.877.260/0001-40;MICROEMPRESA;26/10/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;57210-000;AL;Piaçabuçu; - ;Sem Logradouro; - ;(82)9983-7522;joaquimeugenio1@hotmail.com;joaquimeugenio1@hotmail.com; - ;30/10/2017 13:21:44;00.877.260/0001-40;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
ANTONIO JOSE DE ALMEIDA O GOIANO;LANCHONETE ZE PRETINHO;00.900.578/0001-02;MICROEMPRESA;31/10/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;75660-000;GO;Buriti Alegre; - ;Sem Logradouro; - ;(64)3444-2001;lanchonetezepretinho@hotmail.com;lanchonetezepretinho@hotmail.com; - ;19/12/2017 08:59:07;00.900.578/0001-02;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Similar;Empresário (Individual); - ; - 
SORVETERIA ERECHIM LTDA;SORVETERIA EREXIM;00.926.597/0001-08;MICROEMPRESA;24/11/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;95595-000;RS;Cidreira; - ;Sem Logradouro; - ;(51)3681-2418;bufettdesorvetes@erexim.com.br;bufettdesorvetes@erexim.com.br; - ;22/03/2017 14:30:40;00.926.597/0001-08;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Similar;Sociedade Empresária Limitada; - ; - 
LUIZ PEREIRA FRANCO;BAR DE CHURRASCO;00.950.712/0001-71;MICROEMPRESA;06/12/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;37640-000;MG;Extrema; - ;Sem Logradouro; - ;(35)3435-1250;tize@contabilbonifacio.com.br;tize@contabilbonifacio.com.br; - ;13/09/2017 10:43:40;00.950.712/0001-71;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
ARI MINETTO;ESPLANADA HOTEL E RESTAURANTE;00.960.690/0001-20;EMPRESA DE PEQUENO PORTE;16/11/1984;Em Operação;Restaurante, Cafeteria, Bar e Similares;78520-000;MT;Guarantã do Norte; - ;Rua Pioneiro Genesio Minetto, 333, Centro;;(66)3552-1521;esplanada_hotel@hotmail.com;esplanada_hotel@hotmail.com; - ;11/04/2018 08:21:41;00.960.690/0001-20;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
PILOES PALACE HOTEL LTDA;PILOES PALACE HOTEL;00.967.596/0001-01;MICROEMPRESA;10/09/1984;Em Operação;Restaurante, Cafeteria, Bar e Similares;75830-000;GO;Mineiros; - ;PRAÇA JOSE ALVES DE ASSIS;CENTRO;(64)3661-1547;reversas@piloeshotel.com.br;reversas@piloeshotel.com.br; - ;11/04/2018 09:04:43;00.967.596/0001-01;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Inglês; - 
CRISLU RESTAURANTE E CONVENIENCIA LTDA.;CRISLU RESTAURANTE E CONVENIENCIA;00.979.876/0001-21;EMPRESA DE PEQUENO PORTE;26/12/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;45420-000;BA;Cairu; - ;Morro de São Paulo;;(75)3652-1075;martinezcristiane@hotmail.com;martinezcristiane@hotmail.com; - ;25/04/2018 10:10:51;00.979.876/0001-21;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
