FILENAME;PERIODO;CNPJ;NOME DA PESSOA JURÍDICA;NOME FANTASIA;SITUAÇÃO CADASTRAL;SITUAÇÃO DA ATIVIDADE;TIPO DE ESTABELECIMENTO;NATUREZA JURÍDICA;PORTE;ENDEREÇO COMPLETO RECEITA FEDERAL;UF;MUNICIPIO;DATA DE ABERTURA;CNAE(S) RELACIONADOS À ATIVIDADE;ENDEREÇO COMPLETO COMERCIAL;TELEFONE COMERCIAL;E-MAIL COMERCIAL;WEBSITE;NÚMERO DO CERTIFICADO;VALIDADE DO CERTIFICADO;NEGOCIO;ESPECIALIDADE;IDIOMAS;RAZÃO SOCIAL;NATUREZA JURIDICA;DATA INICIO OPERAÇÃO;SITUAÇÃO;TIPO ATIVIDADE;CEP;BAIRRO;LOGRADOURO;TELEFONE;FAX;E-MAIL2;E-MAIL3;SITE;CÓDIGO CERTIFICADO;CÓDIGO E DESCRIÇÃO CNAE;CAPACIDADE DE LUGARES;LINGUAS;DATA DE INICIO DA OPERAÇÃO;ATIVIDADE;COMPLEMENTO;EMAIL INSTITUCIONAL;EMAIL COMERCIAL;DATA DE GERAÇÃO DO CERTIFICADO;DATA DE VALIDADE DO CERTIFICADO;CÓDIGO DO CERTIFICADO;CNAE;TIPO DE ATIVIDADE;LÍNGUAS;UNNAMED: 22;UNNAMED: 23;UNNAMED: 24
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;12.241.010/0001-06;;LUIZ CLAUDIO RIBEIRO DE SOUZA;;;;Restaurante;MICROEMPRESA;;GO;Caiapônia;;;;;;;;;5611-2/03-LANCHONETES,CASASDECHÁ,DESUCOSESIMILARES; - ;;LUIZ CLAUDIO RIBEIRO DE SOUZA 41486560172;;;Em Operação;;75850-000; - ;AV CEL LINDOLFO ALVES DIAS;;;;;megalanches@hotmail.com;;;;;16/07/2010;Restaurante, Cafeteria, Bar e Similares;QUADRA 007;;; - ;19/02/2020 11:10;19/02/2022 11:10;12.241.010/0001-06;;Empresário Individual;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;LOTE 18;;av anhaguera QUADRA 2A;;;;5611-2/01 - RESTAURANTES E SIMILARES;SALA 01;;Restaurante,Cafeteria,BareSimilares;74075-010;;;;;;;;;13.358.691/0001-41;Empresário (Individual);;FERNANDO MENDES VIEIRA;;;MICROEMPRESA;;Em Operação;GO;Goiânia;;;;;f.mendes.vi@hotmail.com;;;;;13.358.691/0001-41;14/03/2011;Setor Aeroporto;;;f.mendes.vi@hotmail.com; - ;13/10/2020 09:20;13/10/2022 09:20;;Restaurante; - ;Brasileira;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;17.505.360/0001-48;;BAR E DISTRIBUIDORA ALTAS HORAS;;;;17.505.360/0001-48;MICROEMPRESA;;GO;Aparecida de Goiânia;;;;;;;;;03/12/202215:34;Bar;;VILMA APARECIDA VIEIRA CAMPOS 54824532191;;;Em Operação;;74955-120;Vila Oliveira;Boro;;;;;(62)3518-2627;;;;;31/01/2013;Restaurante, Cafeteria, Bar e Similares;R BORO QUADRA 125;;;vilmaaparecidavieiracampos@gmail.com;vilmaaparecidavieiracampos@gmail.com; - ;03/12/2020 15:34;;5611-2/05 - BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO.;Empresário Individual; - ;Brasileira
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;18.788.168/0001-79;;CEDRO HOTEL;;;;5611-2/01 - RESTAURANTES E SIMILARES;MICROEMPRESA;;GO;Nova Crixás;;;;;;;;;18.788.168/0001-79;Sociedade Empresária Limitada;;MONTEIRO E FARIA HOTELARIA LTDA;;;Em Operação;;76520-000; - ;AV TANCREDO NEVES;;;;;cedrohotel@gmail.com;;;;;30/07/2013;Restaurante, Cafeteria, Bar e Similares;QUADRA: 17;;;cedrohotel@gmail.com; - ;17/02/2020 11:26;17/02/2022 11:26;;Restaurante; - ;Brasileira;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;19.144.052/0001-60;;DEBORA CHIOGNA-ME;;;;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;EMPRESA DE PEQUENO PORTE;;GO;Rio Verde;;;;;;;;;19.144.052/0001-60;Empresário (Individual);;DEBORA CHIOGNA;;;Em Operação;;75901-230;Setor Central;Edmundo de Carvalho;;;;;montanalanches@hotmail.com;;;;;26/10/2013;Restaurante, Cafeteria, Bar e Similares; LUC 187 ;;;montanalanches@hotmail.com; - ;18/02/2020 08:03;18/02/2022 08:03;;Restaurante; - ;Brasileira;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;19.490.597/0001-28;;REI DO MATE;;;;Similar;MICROEMPRESA;;MG;Juiz de Fora;;;;;;;;;5611-2/03-LANCHONETES,CASASDECHÁ,DESUCOSESIMILARES; - ;;VENTURA LANCHES LTDA;;;Em Operação;;36080-060;Mariano Procópio;Avenida Brasil, 9501;;;;;tipampa@hotmail.com;;;;;09/01/2014;Restaurante, Cafeteria, Bar e Similares;LOJA: 48A;;; - ;29/04/2020 15:40;29/04/2022 15:40;19.490.597/0001-28;;Sociedade Empresária Limitada;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;20.687.822/0001-08;;CAFEEIRO;;;;20.687.822/0001-08;EMPRESA DE PEQUENO PORTE;;MG;Uberlândia;;;;;;;;;31/10/202112:09;Cafeteria;;CAFEEIRO LANCHES LTDA;;;Em Operação;;38408-100;Saraiva;João Naves de Ávila, 1331;;;;;(34)3292-3610;;;;;22/07/2014;Restaurante, Cafeteria, Bar e Similares;CENTER SHOPPING;;;CADASTRO@CONTATIVA.COM.BR;CADASTRO@CONTATIVA.COM.BR; - ;31/10/2019 12:09;;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada; - ;Brasileira
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;21.035.697/0001-06;;RESTAURANTE E LANCHONETE ROTA 040 LTDA;;;;Restaurante;MICROEMPRESA;;MG;Três Marias;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES; - ;;RESTAURANTE E LANCHONETE ROTA 040 LTDA;;;Em Operação;;39205-000; - ;ROD BR 040 , S/N;;;;;FISCAL@MENDONCACONTABILIDADE.COM.BR;;;;;15/09/2014;Restaurante, Cafeteria, Bar e Similares;KM: 279;;; - ;15/04/2020 10:48;15/04/2022 10:48;21.035.697/0001-06;;Sociedade Empresária Limitada;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;21.869.311/0001-61;;ORISHAS;;;;Restaurante;MICROEMPRESA;;RN;Tibau do Sul;;;;;;;;;5611-2/04-BARESEOUTROSESTABELECIMENTOSESPECIALIZADOSEMSERVIRBEBIDAS,SEMENTRETENIMENTO.;Espanhol|Português;;ORISHAS RESTAURANTE EIRELI;;;Em Operação;;59179-000; - ;R LARGO DE SAO SEBASTIAO;;;;;yami_yb@hotmail.com;;;;;11/02/2015;Restaurante, Cafeteria, Bar e Similares;nº 1, BOX: 9;;;www.orishasrestobar.com.br;08/12/2020 12:25;08/12/2022 12:25;21.869.311/0001-61;;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Argentina|Brasileira|Cozinha regional;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;22.353.905/0001-88;;BRASILEIRINHO DELIVERY;;;;Restaurante;MICROEMPRESA;;CE;Fortaleza;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES;Inglês|Espanhol;;BMS RESTAURANTE LTDA;;;Em Operação;;60160-280;Centro;Rua Costa Barros, Nº 941;;;;;brunomsampaio@hotmail.com;;;;;29/04/2015;Restaurante, Cafeteria, Bar e Similares;LOJA: 04 E 05;;; - ;15/05/2020 11:52;15/05/2022 11:52;22.353.905/0001-88;;Sociedade Empresária Limitada;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;22.478.661/0001-60;;LANCHONETE SHEVRON;;;;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;EMPRESA DE PEQUENO PORTE;;GO;Abadiânia;;;;;;;;;22.478.661/0001-60;Sociedade Empresária Limitada;;LANCHONETE LIMA LTDA;;;Em Operação;;72940-000; - ;AV GERALDO RODRIGUES DOS SANTOS;;;;;telescontabilidade@hotmail.com;;;;;19/05/2015;Restaurante, Cafeteria, Bar e Similares;QUADRA: 03;;;telescontabilidade@hotmail.com; - ;19/02/2020 16:33;19/02/2022 16:33;;Similar; - ;Cozinha regional;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;29.065.942/0001-30;;BROCADOS BURGUER;;;;Similar;MICROEMPRESA;;GO;São Luís de Montes Belos;;;;;;;;;5611-2/03-LANCHONETES,CASASDECHÁ,DESUCOSESIMILARES; - ;;PAULO HENRIQUE PEREIRA DE MENEZES 70112387195;;;Em Operação;;76100-000; - ;RIO DA PRATA;;;;;brocadosburgerslmb@gmail.com;;;;;14/11/2017;Restaurante, Cafeteria, Bar e Similares;QUADRA 78;;; - ;18/05/2020 07:58;18/05/2022 07:58;29.065.942/0001-30;;Empresário Individual;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;30.407.924/0002-59;;POMMERNHAUS;;;;Cafeteria;MICROEMPRESA;;SC;Pomerode;;;;;;;;;5611-2/04-BARESEOUTROSESTABELECIMENTOSESPECIALIZADOSEMSERVIRBEBIDAS,SEMENTRETENIMENTO.; - ;;ALESSANDRA VALIN ROSA;;;Em Operação;;89107-000; - ;RUA HERMANN WEEGE;;;;;MANSKE.BNU@TERRA.COM.BR;;;;;19/08/2019;Restaurante, Cafeteria, Bar e Similares;SALA:D;;; - ;10/08/2020 14:03;10/08/2022 14:03;30.407.924/0002-59;;Empresário Individual;Alemã|Cozinha regional;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;30.943.232/0001-44;;PANQUECAS DA LILI;;;;Restaurante;MICROEMPRESA;;TO;Palmas;;;;;;;;;5611-2/03-LANCHONETES,CASASDECHÁ,DESUCOSESIMILARES; - ;;JEFERSON LINS DA SILVA 02260752497;;;Em Operação;;77022-322;Plano Diretor Sul;704 Sul Avenida LO 15;;;;;jefersonpalmasto@gmail.com;;;;;16/07/2018;Restaurante, Cafeteria, Bar e Similares;LOTE 20;;; - ;02/06/2020 08:24;02/06/2022 08:24;30.943.232/0001-44;;Empresário Individual;Italiana|Brasileira|Cozinha regional;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;30.992.464/0001-92;;CEU DE CORUMBAU;;;;5611-2/01 - RESTAURANTES E SIMILARES;MICROEMPRESA;;BA;Prado;;;;;;;;;30.992.464/0001-92;Empresário Individual;;FERNANDO FURUNO 06603731819;;;Em Implantação;;45980-000; - ;RUA B;;;;;ffuruno@gmail.com;;;;;22/07/2018;Restaurante, Cafeteria, Bar e Similares;QUADRA 2;;;ceudecorumbau@gmail.com;http://www.ceudecorumbau.com.br;21/08/2020 17:16;21/08/2022 17:16;;Restaurante;Espanhol|Inglês|Japonês;Cozinha regional;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;31.807.011/0001-01;;BOTECO DO ELEFANTINHO;;;;Bar;MICROEMPRESA;;RJ;Maricá;;;;;;;;;5611-2/04-BARESEOUTROSESTABELECIMENTOSESPECIALIZADOSEMSERVIRBEBIDAS,SEMENTRETENIMENTO.;Inglês;;GARCIA & ALI BAR, BOTECO & RESTAURANTE LTDA;;;Em Operação;;24937-110;Recanto de Itaipuaçu (Itaipuaçu);Doutor Adair Farah da Mota 1051;;;;;TABERNADOELEFANTINHO@GMAIL.COM;;;;;19/10/2018;Restaurante, Cafeteria, Bar e Similares;lote 9;;; - ;19/11/2020 17:23;19/11/2022 17:23;31.807.011/0001-01;;Sociedade Empresária Limitada;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;32.610.520/0001-02;;LANCHONETE PIRESINA;;;;Similar;MICROEMPRESA;;GO;Pires do Rio;;;;;;;;;5611-2/03-LANCHONETES,CASASDECHÁ,DESUCOSESIMILARES; - ;;WALDECI DE SOUSA 81260180115;;;Em Operação;;75200-000; - ;Rua 02;;;;;murilo@budazesilva.com.br;;;;;30/01/2019;Restaurante, Cafeteria, Bar e Similares;Q. 06;;; - ;10/08/2020 13:58;10/08/2022 13:58;32.610.520/0001-02;;Empresário Individual;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;32.668.555/0001-00;;MG STEAK HOUSE;;;;32.668.555/0001-00;MICROEMPRESA;;PA;Parauapebas;;;;;;;;;03/11/202213:20;Restaurante;;M G L BAR E RESTAURANTE LTDA;;;Em Operação;;68515-000; - ;AV CARAJAS;;;;;(65)9996-0027;;;;;05/02/2019;Restaurante, Cafeteria, Bar e Similares;QUADRA127;;;MARCIOROGERIOSANTANA@HOTMAIL.COM;MARCIOROGERIOSANTANA@HOTMAIL.COM;https://instagram.com/mgsteakhousepbs?igshid=1tuvbi2o9fit;03/11/2020 13:20;;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada; - ;Brasileira
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;33.072.951/0001-25;;Apreciate Churrascaria;;;;Restaurante;MICROEMPRESA;;SP;Piracicaba;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES;Inglês;;APRECIATE GRILL RESTAURANTE EIRELI;;;Em Operação;;13400-315;Centro;Prudente de Morais;;;;;apreciate@hotmail.com;;;;;19/03/2019;Restaurante, Cafeteria, Bar e Similares;767;;;http://www.apreciatechurrascaria.com.br/capa.asp?idpaginainst=principal;19/05/2020 11:12;19/05/2022 11:12;33.072.951/0001-25;;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;34.919.229/0001-46;;MERCEARIA M DIAS;;;;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;MICROEMPRESA;;GO;Aparecida de Goiânia;;;;;;;;;34.919.229/0001-46;Empresário Individual;;JOSE MILTON BERNARDO DA SILVA 76397920453;;;Em Operação;;74959-018;Setor Residencial Campos Elísios;Verdon;;;;;JOSEMILTONBS9@GMAIL.COM;;;;;19/09/2019;Restaurante, Cafeteria, Bar e Similares;QUADRA 33;;;JOSEMILTONBS9@GMAIL.COM; - ;11/12/2020 12:18;11/12/2022 12:18;;Restaurante; - ;Brasileira;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;35.721.692/0001-41;;PADARIA MANA;;;;Cafeteria;MICROEMPRESA;;GO;Abadia de Goiás;;;;;;;;;5611-2/03-LANCHONETES,CASASDECHÁ,DESUCOSESIMILARES; - ;;JAIR OLIVEIRA SANTOS 86834738134;;;Em Operação;;75345-000; - ;RUA 08 QUADRA 36;;;;;JAIRSANTOSOLIVEIRA777@GMAIL.COM;;;;;06/12/2019;Restaurante, Cafeteria, Bar e Similares;LOTE 14;;; - ;30/09/2020 09:28;30/09/2022 09:28;35.721.692/0001-41;;Empresário Individual;Brasileira;;
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;02.308.948/0001-34;;PANELA MAGICA;;;;5611-2/01 - RESTAURANTES E SIMILARES;MICROEMPRESA;;GO;Goiânia;;;;;;;;;02.308.948/0001-34;Sociedade Empresária Limitada;;LANCHE E RESTAURANTE PANELA MAGICA LTDA;;;Em Operação;;74110-140;Setor Oeste;R 13;;;;;panelamagica@terra.com.br;;;;;08/07/1977;Restaurante, Cafeteria, Bar e Similares;QUADRA: G13;;;panelamagica@terra.com.br; - ;14/02/2020 11:27;14/02/2022 11:27;;Restaurante;Espanhol;Brasileira;
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;03.038.290/0001-50;;#NOME?;;;;03.038.290/0001-50;MICROEMPRESA;;GO;Caldas Novas;;;;;;;;;19/02/202215:01;Restaurante;;PRISMA MOREIRA RESTAURANTES LTDA;;;Em Operação;;75690-000; - ;AV ORCALINO SANTOS;;;;;(64)3453-3775;;;;;26/01/1999;Restaurante, Cafeteria, Bar e Similares;QUADRA: 17;;;prismamoreira@gmail.com;prismamoreira@gmail.com; - ;19/02/2020 15:01;;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada; - ;Cozinha regional
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;04.846.017/0001-15;;Hotel Santos;;;;Similar;MICROEMPRESA;;MG;Gameleiras;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES; - ;;GERALDO PEREIRA DOS SANTOS;;;Em Operação;;39505-000; - ;Rua;;;;;ramonmendes2009@hotmail.com;;;;;11/01/2002;Restaurante, Cafeteria, Bar e Similares; Joaquim Genro, 501;;; - ;20/03/2019 09:16;20/03/2021 09:16;04.846.017/0001-15;;Empresário (Individual);Brasileira|Cozinha regional;;
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;07.847.125/0001-09;;LANCHONETE & CHURRASCARIA FRUTOS DA TERRA;;;;Restaurante;MICROEMPRESA;;MT;Ribeirão Cascalheira;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES;Português;;E PEREIRA ROSA & CIA LTDA;;;Em Operação;;78675-000; - ;av;;;;;corgatecfiscal@hotmail.com;;;;;20/02/2006;Restaurante, Cafeteria, Bar e Similares; PADRE JOÃO BOSCO;;; - ;26/06/2019 15:10;26/06/2021 15:10;07.847.125/0001-09;;Sociedade Empresária Limitada;Brasileira;;
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;08.032.334/0001-59;;PARRILLA RESTAURANTE;;;;5611-2/01 - RESTAURANTES E SIMILARES;EMPRESA DE PEQUENO PORTE;;GO;Goiânia;;;;;;;;;08.032.334/0001-59;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);;PARRILLA RESTAURANTE E BAR - EIRELI;;;Em Operação;;74223-050; - ;R T 36;;;;;ricardo@parrillarestaurante.com.br;;;;;30/05/2006;Restaurante, Cafeteria, Bar e Similares;QUADRA: 112-A;;;ricardo@parrillarestaurante.com.br; - ;21/02/2020 14:59;21/02/2022 14:59;;Restaurante; - ;Brasileira;
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;09.191.005/0001-13;;CANTINHO DE GOIAS;;;;09.191.005/0001-13;MICROEMPRESA;;GO;Caldas Novas;;;;;;;;;18/02/202216:37;Restaurante;;REGINA CHINKO;;;Em Operação;;75690-000; - ;R ANTONIO COELHO DE GODOY;;;;;(64)3453-0549;;;;;13/11/2007;Restaurante, Cafeteria, Bar e Similares;QUADRA: 05;;;cantinhodegoias@hotmail.com;cantinhodegoias@hotmail.com; - ;18/02/2020 16:37;;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual);Espanhol;Brasileira
restaurantescafeteriasebares202101trimestrecadasturpj-2021-Q1.csv;2021-Q1;10.399.877/0001-50;;LANCHONETE & CHURRASCARIA ROCHA;;;;Restaurante;MICROEMPRESA;;MT;Ribeirão Cascalheira;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES; - ;;A DA ROCHA;;;Em Operação;;78675-000; - ;av;;;;;rochachurrascaria@hotmail.com;;;;;07/10/2008;Restaurante, Cafeteria, Bar e Similares; PADRE JOÃO BOSCO;;; - ;26/06/2019 15:08;26/06/2021 15:08;10.399.877/0001-50;;Empresário (Individual);Brasileira;;
